/ ------------------------------------------------------------------------------
/ CSV EXPORT [07/10/2024]
/ DATABASE   [.\stations.gdb]
/ ------------------------------------------------------------------------------
/
Station,Easting,Northing,Comp,Elev_ASTER
100,420425,5589298,TX,773
200,420425,5589298,TX,773
300,420505,5589301,TX,774
301,420489,5589300,TX,773
302,420490,5589300,TX,773
400,420459,5589336,TX,774
401,420459,5589336,TX,774
402,420223,5589604,TX,772
500,420459,5589336,TX,774
501,420643,5589348,TX,770
502,420223,5589604,TX,772
1,420698,5589474,Ex1,774
1,420687,5589483,Ey1,775
1,420688,5589475,Hx1,775
1,420681,5589482,Hy1,776
1,420697,5589494,Ex2,775
1,420707,5589482,Ey2,773
1,420688,5589475,Hx2,775
1,420681,5589482,Hy2,776
1,420698,5589483,ZEN,774
2,420412,5589215,Ex1,774
2,420401,5589226,Ey1,774
2,420395,5589220,Hx1,774
2,420409,5589201,Hy1,775
2,420411,5589236,Ex2,774
2,420421,5589225,Ey2,774
2,420395,5589220,Hx2,774
2,420409,5589201,Hy2,775
2,420412,5589223,ZEN,774
3,420543,5589128,Ex1,778
3,420533,5589139,Ey1,777
3,420553,5589121,Hx1,779
3,420560,5589131,Hy1,778
3,420543,5589149,Ex2,777
3,420552,5589138,Ey2,778
3,420553,5589121,Hx2,779
3,420560,5589131,Hy2,778
3,420543,5589138,ZEN,777
4,420338,5589387,Ex1,775
4,420325,5589396,Ey1,774
4,420327,5589390,Hx1,774
4,420322,5589384,Hy1,775
4,420338,5589406,Ex2,774
4,420347,5589396,Ey2,775
4,420327,5589390,Hx2,774
4,420322,5589384,Hy2,775
4,420337,5589396,ZEN,775
